ID,Node,Lat,Lon
404,Prospect Avenue / 4 Avenue,-73.992912,40.665424
405,Prospect Avenue / Westchester Avenue,-73.901769,40.819584
406,Prospect Park / Empire Boulevard-Flatbush Avenue,-73.962149,40.66087
407,Queens Plaza / Queens Boulevard,-73.937378,40.748725
408,Queensboro Plaza,-73.940203,40.750581
409,Ralph Avenue / Fulton Street,-73.921514,40.678738
410,Rector Street,-74.013526,40.708011
411,Rector Street / Trinity Place,-74.013342,40.707219
412,Rockaway Avenue,-73.908904,40.662574
413,Rockaway Avenue / Fulton Street,-73.910773,40.678491
414,Rockaway Boulevard / Liberty Avenue,-73.843866,40.680434
415,Rockaway Park / Beach 116 Street,-73.837425,40.580546
416,Roosevelt Island,-73.953254,40.759138
417,Saint Lawrence Avenue,-73.867426,40.831492
418,Saratoga Avenue,-73.916018,40.66156
419,Seneca Avenue / Palmetto Street,-73.907739,40.702761
420,Sheepshead Bay / East 16 Street,-73.954155,40.586895
421,Shepherd Avenue/ Pitkin Avenue,-73.88075,40.674129
422,Simpson Street / Westchester Avenue,-73.89289,40.824369
423,Smith-9 Streets,-73.99704,40.674604
424,South Ferry,-74.012978,40.701743
425,Spring Street,-73.996799,40.722096
426,Spring Street / 6 Avenue,-74.004011,40.726205
427,Steinway Street / Broadway,-73.920619,40.756661
428,Sterling Street / Nostrand Avenue,-73.951042,40.663288
429,Sutphin Boulevard / Archer Avenue / JFK Airport,-73.807909,40.700415
430,Sutphin Boulevard / Hillside Avenue,-73.80971,40.705551
431,Sutter Avenue / Van Sinderen Avenue,-73.901976,40.669366
432,Sutter Avenue–Rutland Road,-73.922862,40.665034
433,Third Avenue-149th Street,-73.917792,40.816249
434,Times Square-42 Street (Line 7),-73.987403,40.755222
435,Times Square-42 Street / Broadway,-73.987096,40.754336
436,Times Square-42nd Street / 7 Avenue-Broadway,-73.987332,40.756304
437,Tremont Avenue / Grand Concourse,-73.905228,40.850409
438,Union Street / 4 Avenue,-73.983048,40.677151
439,Utica Avenue / Fulton Street,-73.929859,40.679499
440,Van Cortlandt Park–242nd Street / Broadway,-73.898241,40.889958
441,Van Siclen Avenue,-73.888487,40.665588
442,Van Siclen Avenue / Fulton Street,-73.891616,40.677779
443,Van Siclen Avenue / Pitkin Avenue,-73.890567,40.67278
444,Vernon Boulevard-Jackson Avenue,-73.953913,40.742758
445,Wakefield-241st Street / White Plains Road,-73.850551,40.903189
446,Wall Street (Line 4),-74.011976,40.707609
447,Wall Street / William Street,-74.008649,40.706663
448,Washington Hts-168 Street,-73.939442,40.84072
449,West 4 Street,-74.001221,40.731105
450,West 8 Street-New York Aquarium / Surf Avenue,-73.975967,40.576127
451,West Farms Square-East Tremont Avenue / Boston Road,-73.879595,40.840548
452,Westchester Square - East Tremont Avenue,-73.842846,40.840149
453,Whitehall Street South Ferry / Water Street,-74.012909,40.701739
454,Whitlock Avenue,-73.886042,40.827311
455,Wilson Avenue / Moffat Street,-73.904046,40.688763
456,Winthrop Street / Nostrand Avenue,-73.949999,40.657186
457,Woodhaven Boulevard / Jamaica Avenue,-73.851505,40.693877
458,Woodhaven Boulevard / Queens Boulevard,-73.87033,40.733048
459,Woodlawn,-73.878751,40.886036
460,Woodside-61Street,-73.912474,40.744097
461,World Trade Center / Church Street,-74.0102,40.711804
462,York Street / Jay Street,-73.986604,40.70135
463,Zerega Avenue,-73.846667,40.836658
